launch_name,minimum_launch_elevation_ft,current_lake_elevation_ft,margin_ft,status,latitude,longitude,coordinate_source,threshold_source_url,lake_elevation_source,lake_elevation_source_url,observed_at,data_retrieved_at
Hawk Creek,1281.0,1288.5,7.5,Likely usable,47.897400,-118.174400,OpenStreetMap slipway near Hawk Creek / NPS place page,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Marcus Island,1281.0,1288.5,7.5,Likely usable,48.666400,-118.065200,OpenStreetMap named slipway / NPS place page,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Evans,1280.0,1288.5,8.5,Likely usable,48.699200,-118.019700,OpenStreetMap named slipway / NPS place page,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Napoleon Bridge,1280.0,1288.5,8.5,Likely usable,48.734600,-118.116400,OpenStreetMap named slipway / NPS place page,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
North Gorge,1280.0,1288.5,8.5,Likely usable,48.786800,-118.001400,OpenStreetMap named slipway / NPS structured data,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
China Bend,1277.0,1288.5,11.5,Likely usable,48.810300,-117.951100,OpenStreetMap named slipway / NPS place page,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Snag Cove,1277.0,1288.5,11.5,Likely usable,48.733000,-118.059000,OpenStreetMap named slipway / NPS structured data,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Jones Bay,1268.0,1288.5,20.5,Likely usable,47.876200,-118.468000,OpenStreetMap slipway / NPS structured data vicinity,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Crescent Bay,1265.0,1288.5,23.5,Likely usable,47.937500,-118.985800,OpenStreetMap slipway / public map review,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Daisy,1265.0,1288.5,23.5,Likely usable,48.375500,-118.167900,OpenStreetMap named slipway / NPS place page,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
French Rocks,1265.0,1288.5,23.5,Likely usable,48.494700,-118.197600,OpenStreetMap named slipway,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Hanson Harbor,1253.0,1288.5,35.5,Likely usable,47.872400,-119.098400,OpenStreetMap slipway / public map review,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Bradbury Beach,1251.0,1288.5,37.5,Likely usable,47.935500,-118.935000,OpenStreetMap slipway / public map review,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Gifford,1249.0,1288.5,39.5,Likely usable,48.288500,-118.145300,OpenStreetMap named slipway / NPS place page,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Fort Spokane,1247.0,1288.5,41.5,Likely usable,47.909600,-118.311000,OpenStreetMap named slipway / NPS structured data vicinity,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Lincoln Mill,1245.0,1288.5,43.5,Likely usable,47.920600,-118.582300,OpenStreetMap slipway / public map review,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Porcupine Bay,1243.0,1288.5,45.5,Likely usable,47.830000,-118.406200,OpenStreetMap slipway / NPS structured data vicinity,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Kettle Falls,1234.0,1288.5,54.5,Likely usable,48.610600,-118.120400,OpenStreetMap slipway / NPS structured data vicinity,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Hunters Camp,1232.0,1288.5,56.5,Likely usable,48.129600,-118.225400,OpenStreetMap named slipway / NPS place page,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Keller Ferry,1229.0,1288.5,59.5,Likely usable,47.937500,-118.985800,OpenStreetMap slipway / concessionaire vicinity,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
Seven Bays,1227.0,1288.5,61.5,Likely usable,47.927300,-119.056700,OpenStreetMap slipway / public map review,https://www.nps.gov/laro/planyourvisit/boating.htm,Bureau of Reclamation Grand Coulee Dam Lake Roosevelt Lake Levels,https://www.usbr.gov/pn/grandcoulee/lakelevel/index.html,"July 14, 2026",2026-07-23T09:03:49-06:00
