launch_name,minimum_launch_elevation_ft,threshold_source_url
Hawk Creek,1281.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Marcus Island,1281.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Evans,1280.0,https://www.nps.gov/laro/planyourvisit/boating.htm
North Gorge,1280.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Napoleon Bridge,1280.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Snag Cove,1277.0,https://www.nps.gov/laro/planyourvisit/boating.htm
China Bend,1277.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Jones Bay,1268.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Crescent Bay,1265.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Daisy,1265.0,https://www.nps.gov/laro/planyourvisit/boating.htm
French Rocks,1265.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Hanson Harbor,1253.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Bradbury Beach,1251.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Gifford,1249.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Fort Spokane,1247.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Lincoln Mill,1245.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Porcupine Bay,1243.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Kettle Falls,1234.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Hunters Camp,1232.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Keller Ferry,1229.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Seven Bays,1227.0,https://www.nps.gov/laro/planyourvisit/boating.htm
Spring Canyon,1222.0,https://www.nps.gov/laro/planyourvisit/boating.htm
